year,total_production,total_consumption,gap,consumption_pct
2003,22094,13349,8745,60.42
2004,22820,14218,8602,62.3
2005,23126,14718,8408,63.64
2006,24384,15258,9126,62.57
2007,25653,16155,9498,62.98
2008,26426,16668,9758,63.07
2009,26988,17101,9887,63.37
2010,28198,17944,10254,63.64
2011,29127,18326,10801,62.92
2012,30023,19064,10959,63.5
2013,30996,19710,11286,63.59
2014,31536,20354,11182,64.54
2015,32318,20890,11428,64.64
2016,33544,21478,12066,64.03
2017,33654,21576,12078,64.11
2018,34573,22162,12411,64.1
2019,35486,22998,12488,64.81
2020,35856,22955,12901,64.02
2021,36380,23423,12957,64.38
2022,37656,23571,14085,62.6
