year,domestic_consumption,nondomestic_consumption,domestic_pct,nondomestic_pct
2003,8787.0,4562.0,65.83,34.17
2004,9542.0,4676.0,67.11,32.89
2005,9985.0,4733.0,67.84,32.16
2006,10050.0,5208.0,65.87,34.13
2007,10763.0,5392.0,66.62,33.38
2008,10932.0,5736.0,65.59,34.41
2009,11062.0,6039.0,64.69,35.31
2010,11204.0,6740.0,62.44,37.56
2011,11389.0,6937.0,62.15,37.85
2012,11746.0,7318.0,61.61,38.39
2013,12129.0,7581.0,61.54,38.46
2014,12535.0,7819.0,61.58,38.42
2015,12756.0,8134.0,61.06,38.94
2016,12980.0,8498.0,60.43,39.57
2017,12894.0,8682.0,59.76,40.24
2018,13210.0,8952.0,59.61,40.39
2019,13622.0,9376.0,59.23,40.77
2020,14357.0,8598.0,62.54,37.46
2021,15078.0,8345.0,64.37,35.63
2022,14706.0,8865.0,62.39,37.61
